Layer,Kernel Shape,Output Shape,Params,Mult-Adds
0_in_proj.Conv2d_low_level_filter,"[3, 16, 3, 3]","[32, 16, 128, 128]",448.0,7077888.0
1_in_proj.LeakyReLU_proj_act,-,"[32, 16, 128, 128]",,
2_transformer_01.LayerNorm_layer_norm_1,[16],"[8192, 64, 16]",32.0,16.0
3_transformer_01.wind_attn.qkv.Linear_get_qkv,"[16, 48]","[8192, 64, 48]",816.0,768.0
4_transformer_01.wind_attn.Softmax_get_attention_scores,-,"[8192, 1, 64, 64]",,
5_transformer_01.wind_attn.Dropout_drop_1,-,"[8192, 1, 64, 64]",,
6_transformer_01.wind_attn.Linear_proj,"[16, 16]","[8192, 64, 16]",272.0,256.0
7_transformer_01.wind_attn.Dropout_drop_2,-,"[8192, 64, 16]",,
8_transformer_01.LayerNorm_layer_norm_2,[16],"[8192, 8, 8, 16]",32.0,16.0
9_transformer_01.leff.Linear_fc1,"[16, 16]","[8192, 8, 8, 16]",272.0,256.0
10_transformer_01.leff.GELU_act_1,-,"[8192, 8, 8, 16]",,
11_transformer_01.leff.Conv2d_conv,"[16, 16, 3, 3]","[8192, 16, 8, 8]",2320.0,147456.0
12_transformer_01.leff.GELU_act_2,-,"[8192, 16, 8, 8]",,
13_transformer_01.leff.Linear_fc2,"[16, 16]","[8192, 8, 8, 16]",272.0,256.0
14_transformer_1.LayerNorm_layer_norm_1,[16],"[8192, 64, 16]",32.0,16.0
15_transformer_1.wind_attn.qkv.Linear_get_qkv,"[16, 48]","[8192, 64, 48]",816.0,768.0
16_transformer_1.wind_attn.Softmax_get_attention_scores,-,"[8192, 1, 64, 64]",,
17_transformer_1.wind_attn.Dropout_drop_1,-,"[8192, 1, 64, 64]",,
18_transformer_1.wind_attn.Linear_proj,"[16, 16]","[8192, 64, 16]",272.0,256.0
19_transformer_1.wind_attn.Dropout_drop_2,-,"[8192, 64, 16]",,
20_transformer_1.LayerNorm_layer_norm_2,[16],"[8192, 8, 8, 16]",32.0,16.0
21_transformer_1.leff.Linear_fc1,"[16, 16]","[8192, 8, 8, 16]",272.0,256.0
22_transformer_1.leff.GELU_act_1,-,"[8192, 8, 8, 16]",,
23_transformer_1.leff.Conv2d_conv,"[16, 16, 3, 3]","[8192, 16, 8, 8]",2320.0,147456.0
24_transformer_1.leff.GELU_act_2,-,"[8192, 16, 8, 8]",,
25_transformer_1.leff.Linear_fc2,"[16, 16]","[8192, 8, 8, 16]",272.0,256.0
26_downsampling_1.Conv2d_conv,"[16, 32, 4, 4]","[32, 32, 64, 64]",8224.0,33554432.0
27_transformer_02.LayerNorm_layer_norm_1,[32],"[2048, 64, 32]",64.0,32.0
28_transformer_02.wind_attn.qkv.Linear_get_qkv,"[32, 96]","[2048, 64, 96]",3168.0,3072.0
29_transformer_02.wind_attn.Softmax_get_attention_scores,-,"[2048, 2, 64, 64]",,
30_transformer_02.wind_attn.Dropout_drop_1,-,"[2048, 2, 64, 64]",,
31_transformer_02.wind_attn.Linear_proj,"[32, 32]","[2048, 64, 32]",1056.0,1024.0
32_transformer_02.wind_attn.Dropout_drop_2,-,"[2048, 64, 32]",,
33_transformer_02.LayerNorm_layer_norm_2,[32],"[2048, 8, 8, 32]",64.0,32.0
34_transformer_02.leff.Linear_fc1,"[32, 32]","[2048, 8, 8, 32]",1056.0,1024.0
35_transformer_02.leff.GELU_act_1,-,"[2048, 8, 8, 32]",,
36_transformer_02.leff.Conv2d_conv,"[32, 32, 3, 3]","[2048, 32, 8, 8]",9248.0,589824.0
37_transformer_02.leff.GELU_act_2,-,"[2048, 32, 8, 8]",,
38_transformer_02.leff.Linear_fc2,"[32, 32]","[2048, 8, 8, 32]",1056.0,1024.0
39_transformer_2.LayerNorm_layer_norm_1,[32],"[2048, 64, 32]",64.0,32.0
40_transformer_2.wind_attn.qkv.Linear_get_qkv,"[32, 96]","[2048, 64, 96]",3168.0,3072.0
41_transformer_2.wind_attn.Softmax_get_attention_scores,-,"[2048, 2, 64, 64]",,
42_transformer_2.wind_attn.Dropout_drop_1,-,"[2048, 2, 64, 64]",,
43_transformer_2.wind_attn.Linear_proj,"[32, 32]","[2048, 64, 32]",1056.0,1024.0
44_transformer_2.wind_attn.Dropout_drop_2,-,"[2048, 64, 32]",,
45_transformer_2.LayerNorm_layer_norm_2,[32],"[2048, 8, 8, 32]",64.0,32.0
46_transformer_2.leff.Linear_fc1,"[32, 32]","[2048, 8, 8, 32]",1056.0,1024.0
47_transformer_2.leff.GELU_act_1,-,"[2048, 8, 8, 32]",,
48_transformer_2.leff.Conv2d_conv,"[32, 32, 3, 3]","[2048, 32, 8, 8]",9248.0,589824.0
49_transformer_2.leff.GELU_act_2,-,"[2048, 32, 8, 8]",,
50_transformer_2.leff.Linear_fc2,"[32, 32]","[2048, 8, 8, 32]",1056.0,1024.0
51_downsampling_2.Conv2d_conv,"[32, 64, 4, 4]","[32, 64, 32, 32]",32832.0,33554432.0
52_transformer_03.LayerNorm_layer_norm_1,[64],"[512, 64, 64]",128.0,64.0
53_transformer_03.wind_attn.qkv.Linear_get_qkv,"[64, 192]","[512, 64, 192]",12480.0,12288.0
54_transformer_03.wind_attn.Softmax_get_attention_scores,-,"[512, 4, 64, 64]",,
55_transformer_03.wind_attn.Dropout_drop_1,-,"[512, 4, 64, 64]",,
56_transformer_03.wind_attn.Linear_proj,"[64, 64]","[512, 64, 64]",4160.0,4096.0
57_transformer_03.wind_attn.Dropout_drop_2,-,"[512, 64, 64]",,
58_transformer_03.LayerNorm_layer_norm_2,[64],"[512, 8, 8, 64]",128.0,64.0
59_transformer_03.leff.Linear_fc1,"[64, 64]","[512, 8, 8, 64]",4160.0,4096.0
60_transformer_03.leff.GELU_act_1,-,"[512, 8, 8, 64]",,
61_transformer_03.leff.Conv2d_conv,"[64, 64, 3, 3]","[512, 64, 8, 8]",36928.0,2359296.0
62_transformer_03.leff.GELU_act_2,-,"[512, 64, 8, 8]",,
63_transformer_03.leff.Linear_fc2,"[64, 64]","[512, 8, 8, 64]",4160.0,4096.0
64_transformer_3.LayerNorm_layer_norm_1,[64],"[512, 64, 64]",128.0,64.0
65_transformer_3.wind_attn.qkv.Linear_get_qkv,"[64, 192]","[512, 64, 192]",12480.0,12288.0
66_transformer_3.wind_attn.Softmax_get_attention_scores,-,"[512, 4, 64, 64]",,
67_transformer_3.wind_attn.Dropout_drop_1,-,"[512, 4, 64, 64]",,
68_transformer_3.wind_attn.Linear_proj,"[64, 64]","[512, 64, 64]",4160.0,4096.0
69_transformer_3.wind_attn.Dropout_drop_2,-,"[512, 64, 64]",,
70_transformer_3.LayerNorm_layer_norm_2,[64],"[512, 8, 8, 64]",128.0,64.0
71_transformer_3.leff.Linear_fc1,"[64, 64]","[512, 8, 8, 64]",4160.0,4096.0
72_transformer_3.leff.GELU_act_1,-,"[512, 8, 8, 64]",,
73_transformer_3.leff.Conv2d_conv,"[64, 64, 3, 3]","[512, 64, 8, 8]",36928.0,2359296.0
74_transformer_3.leff.GELU_act_2,-,"[512, 64, 8, 8]",,
75_transformer_3.leff.Linear_fc2,"[64, 64]","[512, 8, 8, 64]",4160.0,4096.0
76_downsampling_3.Conv2d_conv,"[64, 128, 4, 4]","[32, 128, 16, 16]",131200.0,33554432.0
